Epoch: [29][0/2689], lr: 0.00001	Time 31.103 (31.103)	Data 6.540 (6.540)	Loss 2.2275 (2.2275)	Prec@1 40.625 (40.625)	Prec@5 71.875 (71.875)
Epoch: [29][20/2689], lr: 0.00001	Time 5.048 (5.984)	Data 4.724 (4.479)	Loss 1.4675 (1.8883)	Prec@1 59.375 (52.381)	Prec@5 81.250 (78.571)
Epoch: [29][40/2689], lr: 0.00001	Time 5.420 (5.549)	Data 5.095 (4.619)	Loss 1.7313 (1.8884)	Prec@1 56.250 (52.210)	Prec@5 84.375 (79.116)
Epoch: [29][60/2689], lr: 0.00001	Time 4.721 (5.359)	Data 4.395 (4.627)	Loss 2.3198 (1.9386)	Prec@1 40.625 (50.973)	Prec@5 75.000 (77.766)
Epoch: [29][80/2689], lr: 0.00001	Time 5.283 (5.324)	Data 4.960 (4.691)	Loss 2.0264 (1.9319)	Prec@1 40.625 (51.312)	Prec@5 78.125 (77.469)
Epoch: [29][100/2689], lr: 0.00001	Time 5.656 (5.274)	Data 5.335 (4.703)	Loss 2.3570 (1.9525)	Prec@1 37.500 (50.650)	Prec@5 71.875 (77.444)
Epoch: [29][120/2689], lr: 0.00001	Time 5.188 (5.225)	Data 4.847 (4.695)	Loss 2.3787 (1.9780)	Prec@1 37.500 (50.000)	Prec@5 75.000 (76.963)
Epoch: [29][140/2689], lr: 0.00001	Time 5.160 (5.212)	Data 4.829 (4.711)	Loss 2.1561 (1.9821)	Prec@1 40.625 (49.978)	Prec@5 75.000 (77.105)
Epoch: [29][160/2689], lr: 0.00001	Time 4.671 (5.185)	Data 4.351 (4.705)	Loss 1.7163 (1.9557)	Prec@1 50.000 (50.214)	Prec@5 81.250 (77.698)
Epoch: [29][180/2689], lr: 0.00001	Time 5.214 (5.176)	Data 4.889 (4.713)	Loss 1.9855 (1.9764)	Prec@1 40.625 (49.862)	Prec@5 75.000 (77.348)
Epoch: [29][200/2689], lr: 0.00001	Time 5.101 (5.171)	Data 4.772 (4.722)	Loss 2.3326 (1.9670)	Prec@1 43.750 (49.969)	Prec@5 62.500 (77.410)
Epoch: [29][220/2689], lr: 0.00001	Time 4.754 (5.148)	Data 4.417 (4.710)	Loss 2.1501 (1.9725)	Prec@1 50.000 (49.887)	Prec@5 65.625 (77.347)
Epoch: [29][240/2689], lr: 0.00001	Time 5.775 (5.128)	Data 5.432 (4.699)	Loss 2.4524 (1.9849)	Prec@1 46.875 (49.754)	Prec@5 68.750 (76.958)
Epoch: [29][260/2689], lr: 0.00001	Time 6.314 (5.118)	Data 5.986 (4.697)	Loss 2.0489 (1.9822)	Prec@1 43.750 (49.725)	Prec@5 78.125 (77.215)
Epoch: [29][280/2689], lr: 0.00001	Time 6.836 (5.135)	Data 6.508 (4.720)	Loss 1.9812 (1.9945)	Prec@1 46.875 (49.388)	Prec@5 71.875 (77.024)
Epoch: [29][300/2689], lr: 0.00001	Time 4.458 (5.117)	Data 4.135 (4.708)	Loss 2.3008 (2.0005)	Prec@1 43.750 (49.242)	Prec@5 68.750 (76.879)
Epoch: [29][320/2689], lr: 0.00001	Time 4.814 (5.115)	Data 4.488 (4.711)	Loss 1.7160 (2.0038)	Prec@1 56.250 (48.968)	Prec@5 84.375 (76.820)
Epoch: [29][340/2689], lr: 0.00001	Time 4.823 (5.107)	Data 4.495 (4.708)	Loss 1.0503 (2.0002)	Prec@1 78.125 (48.937)	Prec@5 93.750 (76.842)
Epoch: [29][360/2689], lr: 0.00001	Time 5.529 (5.103)	Data 5.193 (4.708)	Loss 2.3461 (2.0017)	Prec@1 40.625 (48.918)	Prec@5 65.625 (76.749)
Epoch: [29][380/2689], lr: 0.00001	Time 5.072 (5.100)	Data 4.751 (4.709)	Loss 1.6531 (1.9983)	Prec@1 56.250 (49.090)	Prec@5 87.500 (76.854)
Epoch: [29][400/2689], lr: 0.00001	Time 4.668 (5.096)	Data 4.342 (4.708)	Loss 1.4781 (1.9988)	Prec@1 62.500 (48.995)	Prec@5 87.500 (76.800)
Epoch: [29][420/2689], lr: 0.00001	Time 4.905 (5.097)	Data 4.578 (4.712)	Loss 2.5150 (1.9980)	Prec@1 34.375 (49.050)	Prec@5 68.750 (76.767)
Epoch: [29][440/2689], lr: 0.00001	Time 6.301 (5.104)	Data 5.970 (4.721)	Loss 2.1902 (1.9962)	Prec@1 43.750 (49.107)	Prec@5 68.750 (76.757)
Epoch: [29][460/2689], lr: 0.00001	Time 6.380 (5.102)	Data 6.031 (4.722)	Loss 2.5113 (2.0021)	Prec@1 50.000 (49.037)	Prec@5 65.625 (76.613)
Epoch: [29][480/2689], lr: 0.00001	Time 4.665 (5.102)	Data 4.340 (4.724)	Loss 1.8851 (2.0023)	Prec@1 50.000 (48.986)	Prec@5 87.500 (76.637)
Epoch: [29][500/2689], lr: 0.00001	Time 5.241 (5.101)	Data 4.916 (4.725)	Loss 1.6281 (1.9979)	Prec@1 56.250 (49.046)	Prec@5 87.500 (76.703)
Epoch: [29][520/2689], lr: 0.00001	Time 5.455 (5.099)	Data 5.130 (4.725)	Loss 1.8106 (1.9959)	Prec@1 56.250 (49.046)	Prec@5 75.000 (76.811)
Epoch: [29][540/2689], lr: 0.00001	Time 5.073 (5.092)	Data 4.753 (4.719)	Loss 2.4539 (1.9945)	Prec@1 46.875 (49.122)	Prec@5 71.875 (76.860)
Epoch: [29][560/2689], lr: 0.00001	Time 4.698 (5.092)	Data 4.370 (4.722)	Loss 1.7112 (1.9950)	Prec@1 46.875 (49.075)	Prec@5 75.000 (76.794)
Epoch: [29][580/2689], lr: 0.00001	Time 4.612 (5.090)	Data 4.285 (4.721)	Loss 1.9448 (1.9939)	Prec@1 56.250 (49.086)	Prec@5 71.875 (76.818)
Epoch: [29][600/2689], lr: 0.00001	Time 5.751 (5.091)	Data 5.426 (4.724)	Loss 1.9867 (1.9963)	Prec@1 43.750 (49.054)	Prec@5 75.000 (76.731)
Epoch: [29][620/2689], lr: 0.00001	Time 6.173 (5.093)	Data 5.846 (4.727)	Loss 1.9156 (1.9958)	Prec@1 56.250 (49.049)	Prec@5 68.750 (76.711)
Epoch: [29][640/2689], lr: 0.00001	Time 4.568 (5.088)	Data 4.248 (4.723)	Loss 1.9785 (1.9955)	Prec@1 62.500 (49.049)	Prec@5 84.375 (76.701)
Epoch: [29][660/2689], lr: 0.00001	Time 6.001 (5.085)	Data 5.674 (4.721)	Loss 2.0415 (1.9952)	Prec@1 43.750 (49.021)	Prec@5 81.250 (76.740)
Epoch: [29][680/2689], lr: 0.00001	Time 4.367 (5.078)	Data 4.046 (4.716)	Loss 1.8508 (1.9908)	Prec@1 43.750 (49.091)	Prec@5 81.250 (76.799)
Epoch: [29][700/2689], lr: 0.00001	Time 5.185 (5.073)	Data 4.860 (4.712)	Loss 1.7049 (1.9879)	Prec@1 59.375 (49.108)	Prec@5 78.125 (76.814)
Epoch: [29][720/2689], lr: 0.00001	Time 4.711 (5.070)	Data 4.387 (4.709)	Loss 2.3882 (1.9890)	Prec@1 43.750 (49.090)	Prec@5 68.750 (76.794)
Epoch: [29][740/2689], lr: 0.00001	Time 4.696 (5.065)	Data 4.369 (4.706)	Loss 2.0198 (1.9887)	Prec@1 53.125 (49.038)	Prec@5 75.000 (76.763)
Epoch: [29][760/2689], lr: 0.00001	Time 5.896 (5.063)	Data 5.568 (4.705)	Loss 1.9612 (1.9846)	Prec@1 50.000 (49.056)	Prec@5 84.375 (76.868)
Epoch: [29][780/2689], lr: 0.00001	Time 5.381 (5.065)	Data 5.058 (4.707)	Loss 1.4042 (1.9840)	Prec@1 56.250 (49.052)	Prec@5 87.500 (76.913)
Epoch: [29][800/2689], lr: 0.00001	Time 4.498 (5.057)	Data 4.175 (4.700)	Loss 2.5966 (1.9836)	Prec@1 40.625 (49.079)	Prec@5 68.750 (76.916)
Epoch: [29][820/2689], lr: 0.00001	Time 6.091 (5.054)	Data 5.760 (4.698)	Loss 2.2822 (1.9842)	Prec@1 50.000 (49.067)	Prec@5 75.000 (76.930)
Epoch: [29][840/2689], lr: 0.00001	Time 4.575 (5.060)	Data 4.251 (4.705)	Loss 1.5136 (1.9830)	Prec@1 59.375 (49.097)	Prec@5 84.375 (76.981)
Epoch: [29][860/2689], lr: 0.00001	Time 4.661 (5.056)	Data 4.334 (4.701)	Loss 2.2172 (1.9791)	Prec@1 31.250 (49.194)	Prec@5 78.125 (77.043)
Epoch: [29][880/2689], lr: 0.00001	Time 4.826 (5.053)	Data 4.498 (4.699)	Loss 2.0844 (1.9793)	Prec@1 53.125 (49.234)	Prec@5 84.375 (77.068)
Epoch: [29][900/2689], lr: 0.00001	Time 5.540 (5.048)	Data 5.215 (4.694)	Loss 2.0339 (1.9799)	Prec@1 50.000 (49.202)	Prec@5 75.000 (77.046)
Epoch: [29][920/2689], lr: 0.00001	Time 5.641 (5.045)	Data 5.302 (4.692)	Loss 2.2727 (1.9811)	Prec@1 43.750 (49.189)	Prec@5 75.000 (77.019)
Epoch: [29][940/2689], lr: 0.00001	Time 4.432 (5.042)	Data 4.111 (4.690)	Loss 1.9348 (1.9815)	Prec@1 43.750 (49.130)	Prec@5 84.375 (77.009)
Epoch: [29][960/2689], lr: 0.00001	Time 4.941 (5.040)	Data 4.604 (4.688)	Loss 2.2227 (1.9795)	Prec@1 50.000 (49.220)	Prec@5 75.000 (77.081)
Epoch: [29][980/2689], lr: 0.00001	Time 4.505 (5.040)	Data 4.180 (4.689)	Loss 1.7874 (1.9817)	Prec@1 56.250 (49.188)	Prec@5 81.250 (77.048)
Epoch: [29][1000/2689], lr: 0.00001	Time 5.076 (5.041)	Data 4.772 (4.690)	Loss 2.2132 (1.9808)	Prec@1 46.875 (49.213)	Prec@5 71.875 (77.060)
