Epoch: [0][0/1345], lr: 0.00100	Time 24.574 (24.574)	Data 1.781 (1.781)	Loss 5.1503 (5.1503)	Prec@1 0.000 (0.000)	Prec@5 6.250 (6.250)
Epoch: [0][20/1345], lr: 0.00100	Time 1.451 (2.617)	Data 1.218 (1.273)	Loss 5.1568 (5.1638)	Prec@1 0.000 (0.595)	Prec@5 3.125 (3.497)
Epoch: [0][40/1345], lr: 0.00100	Time 1.495 (2.090)	Data 1.283 (1.292)	Loss 5.1468 (5.1609)	Prec@1 3.125 (0.648)	Prec@5 7.812 (3.659)
Epoch: [0][60/1345], lr: 0.00100	Time 1.513 (1.925)	Data 1.292 (1.314)	Loss 5.1197 (5.1541)	Prec@1 3.125 (0.640)	Prec@5 4.688 (3.560)
Epoch: [0][80/1345], lr: 0.00100	Time 1.796 (1.839)	Data 1.566 (1.325)	Loss 5.1239 (5.1501)	Prec@1 1.562 (0.694)	Prec@5 6.250 (3.762)
Epoch: [0][100/1345], lr: 0.00100	Time 1.668 (1.777)	Data 1.435 (1.319)	Loss 5.0299 (5.1413)	Prec@1 1.562 (0.774)	Prec@5 9.375 (4.069)
Epoch: [0][120/1345], lr: 0.00100	Time 1.689 (1.730)	Data 1.472 (1.311)	Loss 5.1174 (5.1359)	Prec@1 0.000 (0.839)	Prec@5 6.250 (4.210)
Epoch: [0][140/1345], lr: 0.00100	Time 1.725 (1.699)	Data 1.505 (1.307)	Loss 5.0880 (5.1278)	Prec@1 1.562 (0.997)	Prec@5 4.688 (4.488)
Epoch: [0][160/1345], lr: 0.00100	Time 1.709 (1.676)	Data 1.486 (1.306)	Loss 5.0596 (5.1220)	Prec@1 6.250 (1.106)	Prec@5 14.062 (4.639)
Epoch: [0][180/1345], lr: 0.00100	Time 1.598 (1.657)	Data 1.386 (1.304)	Loss 5.0492 (5.1162)	Prec@1 0.000 (1.200)	Prec@5 1.562 (4.765)
Epoch: [0][200/1345], lr: 0.00100	Time 1.235 (1.637)	Data 1.010 (1.297)	Loss 5.0628 (5.1108)	Prec@1 0.000 (1.275)	Prec@5 6.250 (5.100)
Epoch: [0][220/1345], lr: 0.00100	Time 1.318 (1.628)	Data 1.100 (1.299)	Loss 4.9596 (5.1043)	Prec@1 6.250 (1.386)	Prec@5 10.938 (5.303)
Epoch: [0][240/1345], lr: 0.00100	Time 1.428 (1.618)	Data 1.218 (1.298)	Loss 4.9801 (5.0990)	Prec@1 3.125 (1.413)	Prec@5 9.375 (5.466)
Epoch: [0][260/1345], lr: 0.00100	Time 1.578 (1.613)	Data 1.351 (1.301)	Loss 4.8992 (5.0908)	Prec@1 1.562 (1.437)	Prec@5 9.375 (5.532)
Epoch: [0][280/1345], lr: 0.00100	Time 1.800 (1.610)	Data 1.582 (1.303)	Loss 4.8579 (5.0822)	Prec@1 3.125 (1.512)	Prec@5 12.500 (5.788)
Epoch: [0][300/1345], lr: 0.00100	Time 1.515 (1.601)	Data 1.205 (1.300)	Loss 5.0080 (5.0753)	Prec@1 1.562 (1.588)	Prec@5 7.812 (6.006)
Epoch: [0][320/1345], lr: 0.00100	Time 1.258 (1.593)	Data 1.041 (1.297)	Loss 5.0067 (5.0688)	Prec@1 1.562 (1.660)	Prec@5 9.375 (6.250)
Epoch: [0][340/1345], lr: 0.00100	Time 1.272 (1.587)	Data 1.053 (1.295)	Loss 4.8727 (5.0600)	Prec@1 4.688 (1.782)	Prec@5 12.500 (6.511)
Epoch: [0][360/1345], lr: 0.00100	Time 1.403 (1.584)	Data 1.181 (1.297)	Loss 5.0310 (5.0512)	Prec@1 0.000 (1.848)	Prec@5 6.250 (6.787)
Epoch: [0][380/1345], lr: 0.00100	Time 1.544 (1.580)	Data 1.251 (1.296)	Loss 4.9995 (5.0439)	Prec@1 4.688 (1.899)	Prec@5 14.062 (6.959)
Epoch: [0][400/1345], lr: 0.00100	Time 1.409 (1.577)	Data 1.183 (1.296)	Loss 4.9820 (5.0359)	Prec@1 0.000 (2.022)	Prec@5 4.688 (7.236)
Epoch: [0][420/1345], lr: 0.00100	Time 1.444 (1.572)	Data 1.236 (1.294)	Loss 4.7844 (5.0282)	Prec@1 4.688 (2.078)	Prec@5 14.062 (7.441)
Epoch: [0][440/1345], lr: 0.00100	Time 1.392 (1.571)	Data 1.165 (1.295)	Loss 4.7981 (5.0201)	Prec@1 4.688 (2.144)	Prec@5 21.875 (7.731)
Epoch: [0][460/1345], lr: 0.00100	Time 1.389 (1.567)	Data 1.168 (1.294)	Loss 4.7335 (5.0124)	Prec@1 6.250 (2.210)	Prec@5 14.062 (7.935)
Epoch: [0][480/1345], lr: 0.00100	Time 1.703 (1.563)	Data 1.485 (1.292)	Loss 4.8366 (5.0045)	Prec@1 1.562 (2.287)	Prec@5 12.500 (8.157)
Epoch: [0][500/1345], lr: 0.00100	Time 1.736 (1.561)	Data 1.536 (1.291)	Loss 4.7570 (4.9981)	Prec@1 4.688 (2.339)	Prec@5 14.062 (8.290)
Epoch: [0][520/1345], lr: 0.00100	Time 1.675 (1.559)	Data 1.459 (1.291)	Loss 4.8049 (4.9906)	Prec@1 3.125 (2.441)	Prec@5 15.625 (8.544)
Epoch: [0][540/1345], lr: 0.00100	Time 1.488 (1.556)	Data 1.267 (1.291)	Loss 4.8106 (4.9812)	Prec@1 6.250 (2.518)	Prec@5 15.625 (8.760)
Epoch: [0][560/1345], lr: 0.00100	Time 1.317 (1.553)	Data 1.094 (1.290)	Loss 4.4832 (4.9726)	Prec@1 10.938 (2.601)	Prec@5 28.125 (8.980)
Epoch: [0][580/1345], lr: 0.00100	Time 1.271 (1.550)	Data 1.048 (1.288)	Loss 4.6358 (4.9656)	Prec@1 10.938 (2.636)	Prec@5 18.750 (9.149)
Epoch: [0][600/1345], lr: 0.00100	Time 1.377 (1.548)	Data 1.154 (1.288)	Loss 4.7663 (4.9576)	Prec@1 4.688 (2.706)	Prec@5 17.188 (9.398)
Epoch: [0][620/1345], lr: 0.00100	Time 1.453 (1.547)	Data 1.232 (1.288)	Loss 4.7854 (4.9499)	Prec@1 3.125 (2.810)	Prec@5 17.188 (9.669)
Epoch: [0][640/1345], lr: 0.00100	Time 1.801 (1.544)	Data 1.578 (1.286)	Loss 4.6201 (4.9433)	Prec@1 9.375 (2.864)	Prec@5 23.438 (9.875)
Epoch: [0][660/1345], lr: 0.00100	Time 1.598 (1.543)	Data 1.378 (1.286)	Loss 4.8563 (4.9372)	Prec@1 6.250 (2.945)	Prec@5 14.062 (10.056)
Epoch: [0][680/1345], lr: 0.00100	Time 1.768 (1.542)	Data 1.541 (1.286)	Loss 4.6998 (4.9302)	Prec@1 1.562 (3.006)	Prec@5 17.188 (10.238)
Epoch: [0][700/1345], lr: 0.00100	Time 1.305 (1.540)	Data 1.087 (1.285)	Loss 4.7505 (4.9234)	Prec@1 1.562 (3.047)	Prec@5 10.938 (10.411)
Epoch: [0][720/1345], lr: 0.00100	Time 1.371 (1.538)	Data 1.157 (1.284)	Loss 4.7195 (4.9172)	Prec@1 4.688 (3.077)	Prec@5 14.062 (10.576)
